0=Unknown, 1=Fire Extinguisher, 2=Pistol, 3=Fist, 4=Crowbar, 5=Knife, 6=Rifle, 7=Throw Small, 8=Throw Big 40=Stun, 41=Flames, 42= Armour Piercing, 43=Blunt, 44=Sharp, 45=Piercing, 46=Acid; 47=Psy
65;//effect number----------------------Fire 9mm AP Ammo
      37.000000;//parameter1
      1.000000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
  end_fire_effects;
  begin_hit_effects;
  end_hit_effects;
Red Light Stick;//name--------------------------------------- PRE-CHECK!
	5;//identifier
	7;//class
	qbeaconbullet.png;//bullet texture
	1;//bullets at one shot
	0;//stop at hit 0=stop where hit, 1=don't stop
	0.000000;//bullet size
	0.000000;//spread
	0.000000;//bullet speed
	0.000000;//time until bullet disappears
	1000;//fire rate
	0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
	-1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
	-1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
	none;//hit effect sound
	0.000000;//push target back
	0.000000;//push shooter back
	none;//fire sound
	none;//hit sound
	0.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
	begin_wield_conditions;
	end_wield_conditions;
	begin_fire_effects;
		24;//effect number-----------------------Fire Weapon [Red Light Stick]
			25.000000;//parameter1
			1.000000;//parameter2
			0.000000;//parameter3
			0.000000;//parameter4
	end_fire_effects;
	begin_hit_effects;
	end_hit_effects; 
Scavenger claws (Large);//name---------------------------------------
	6;//identifier
	43;//class
	qbeaconbullet.png;//bullet texture
	3;//bullets at one shot
	0;//stop at hit 0=stop where hit, 1=don't stop
	1.400000;//bullet size
	0.400000;//spread
	1.000000;//bullet speed
	30.000000;//time until bullet disappears
	1200;//fire rate
	0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
	-1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
	0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
	none;//hit effect sound
	3.000000;//push target back
	3.500000;//push shooter back
	shriekattack.wav;//fire sound
	claws0_hit.wav;//hit sound
	1.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
	begin_wield_conditions;
	end_wield_conditions;
	begin_fire_effects;
		1;//effect number-----------------------Slow Down Creature
			400.000000;//parameter1
			-1.000000;//parameter2
			0.100000;//parameter3
			0.000000;//parameter4
		1;//effect number-----------------------Slow Down Creature
			800.000000;//parameter1
			-1.000000;//parameter2
			0.400000;//parameter3
			0.000000;//parameter4
		1;//effect number-----------------------Slow Down Creature
			1000.000000;//parameter1
			-1.000000;//parameter2
			0.600000;//parameter3
			0.000000;//parameter4
		24;//effect number-----------------------Fire "Bleed Chance - Medium" Weapon
			58.000000;//parameter1
			1.000000;//parameter2
			0.000000;//parameter3
			0.000000;//parameter4
	end_fire_effects;
	begin_hit_effects;
		4;//effect number------------------------------Damage Brute[4]
			-4.000000;//parameter1
			0.00000;//parameter2
			8.000000;//parameter3
			0.000000;//parameter4
		63;//effect number-----------------------Add Knock-Out Effect [5-11]
			5.000000;//parameter1
			11.00000;//parameter2
			32.000000;//parameter3
			1.000000;//parameter4
		63;//effect number------------------------------Damage Brute[3-9]
			0.000000;//parameter1
			-14.00000;//parameter2
			8.000000;//parameter3
			1.000000;//parameter4
		4;//effect number------------------------------Damage NPCs[4]
			-13.000000;//parameter1
			0.00000;//parameter2
			0.000000;//parameter3
			0.000000;//parameter4
		63;//effect number------------------------------Damage NPCs[4-9]
			0.000000;//parameter1
			-14.00000;//parameter2
			0.000000;//parameter3
			1.000000;//parameter4
		1;//effect number-----------------------Slow Down Creature
			4000.000000;//parameter1
			-1.000000;//parameter2
			0.900000;//parameter3
			0.000000;//parameter4
	end_hit_effects;
Scavanger claws (Small);//name---------------------------------------
  7;//identifier
  44;//class
  bullet0.png;//bullet texture
  1;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  0.200000;//spread
  1.000000;//bullet speed
  30.000000;//time until bullet disappears
  1200;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  1.000000;//push target back
  3.500000;//push shooter back
shriekattack.wav;//fire sound
  claws0_hit.wav;//hit sound
  0.500000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
  	 1;//effect number-----------------------Slow Down Creature
      2000.000000;//parameter1
      -1.000000;//parameter2
      0.800000;//parameter3
      0.000000;//parameter4
  end_fire_effects;
  begin_hit_effects;
    63;//effect number------------------------------Damage NPCs[6-12]
      -6.000000;//parameter1
      -12.00000;//parameter2
      0.000000;//parameter3
      1.000000;//parameter4
    63;//effect number------------------------------Damage Brute[6-10]
      -6.000000;//parameter1
      -10.00000;//parameter2 12)(
      8.000000;//parameter3
      1.000000;//parameter4
	 1;//effect number-----------------------Slow Down Creature
      2000.000000;//parameter1
      -1.000000;//parameter2
      0.800000;//parameter3
      0.000000;//parameter4
	 29;//effect number-----------------------Run "Bleed Chance - Low" Script
      20.000000;//parameter1
      1.000000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
  end_hit_effects;
Blue Light Stick;//name--------------------------------------- PRE-CHECK!
	8;//identifier
	7;//class
	qbeaconbullet.png;//bullet texture
	1;//bullets at one shot
	0;//stop at hit 0=stop where hit, 1=don't stop
	0.000000;//bullet size
	0.000000;//spread
	0.000000;//bullet speed
	0.000000;//time until bullet disappears
	1000;//fire rate
	0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
	-1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
	-1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
	none;//hit effect sound
	0.000000;//push target back
	0.000000;//push shooter back
	none;//fire sound
	none;//hit sound
	0.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
	begin_wield_conditions;
	end_wield_conditions;
	begin_fire_effects;
		24;//effect number-----------------------Fire Creature [Blue Light Stick]
			26.000000;//parameter1
			1.000000;//parameter2
			0.000000;//parameter3
			0.000000;//parameter4
	end_fire_effects;
	begin_hit_effects;
	end_hit_effects; 
Pump Shotgun (Shotgun shells);//name---------------------------------------
  9;//identifier
  6;//class
  bullet0.png;//bullet texture
  0;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  0.000000;//spread
  0.000000;//bullet speed
  0.000000;//time until bullet disappears
  1200;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  0.000000;//push target back
  0.000000;//push shooter back
  none;//fire sound
  none;//hit sound
  0.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
65;//effect number----------------------Fire Pellet Ammo
      38.000000;//parameter1
      1.000000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
65;//effect number----------------------Fire Slug Ammo
      39.000000;//parameter1
      1.000000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
65;//effect number----------------------Fire Beanbag Ammo
      40.000000;//parameter1
      1.000000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
65;//effect number----------------------Fire Incendiary Ammo
      41.000000;//parameter1
      1.000000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
  end_fire_effects;
  begin_hit_effects;
  end_hit_effects;
Metal rod;//name--------------------------------------- PRE-CHECK!
	10;//identifier
	4;//class
	qbeaconbullet.png;//bullet texture
	0;//bullets at one shot
	0;//stop at hit 0=stop where hit, 1=don't stop
	0.000000;//bullet size
	0.000000;//spread
	0.000000;//bullet speed
	0.000000;//time until bullet disappears
	300;//fire rate
	0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
	-1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
	-1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
	none;//hit effect sound
	2.000000;//push target back
	0.000000;//push shooter back
	none;//fire sound
	none;//hit sound
	0.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
	begin_wield_conditions;
	end_wield_conditions;
	begin_fire_effects;
		65;//effect number----------------------Fire Metal Rod (Attack)
			11.000000;//parameter1
			1.000000;//parameter2
			0.000000;//parameter3
			0.000000;//parameter4
		45;//effect number----------------------Attack Frame Cooldown
			-1.000000;//parameter1
			1100.000000;//parameter2
			-1.000000;//parameter3
			0.000000;//parameter4
	end_fire_effects;
	begin_hit_effects;
	end_hit_effects;
 Metal rod (Attack);//name---------------------------------------
	11;//identifier
	43;//class
	qbeaconbullet.png;//bullet texture
	3;//bullets at one shot
	0;//stop at hit 0=stop where hit, 1=don't stop
	3.000000;//bullet size
	0.500000;//spread
	1.000000;//bullet speed
	50.000000;//time until bullet disappears
	0;//fire rate
	0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
	-1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
	-1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
	none;//hit effect sound
	2.100000;//push target back
	0.000000;//push shooter back
	swing.wav;//fire sound
	claws0_hit.wav;//hit sound
	0.500000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
	begin_wield_conditions;
		3;//condition-----------------------If Not Tired
			3.000000;//condition parameter0
			20.000000;//condition parameter1
	end_wield_conditions;
	begin_fire_effects;
		63;//effect number-----------------------Tire Player
			-20.000000;//parameter1
			-10.00000;//parameter2
			3.000000;//parameter3
			1.000000;//parameter4
		1;//effect number-----------------------Slow Down Player
			1000.000000;//parameter1
			-1.000000;//parameter2
			0.750000;//parameter3
			0.000000;//parameter4
	end_fire_effects;
	begin_hit_effects;
		63;//effect number-----------------------Add Knock-Out Effect [15-35]
			15.000000;//parameter1
			35.00000;//parameter2
			32.000000;//parameter3
			1.000000;//parameter4
		44;//effect number-----------------------Reduce Durability [4.5]
			-4.500000;//parameter1
			1.00000;//parameter2
			22.000000;//parameter3
			0.000000;//parameter4
		4;//effect number-----------------------Damage NPCs [8]
			-8.000000;//parameter1
			0.00000;//parameter2
			0.000000;//parameter3
			1.000000;//parameter4
		63;//effect number-----------------------Damage NPCs [8-13]
			0.000000;//parameter1
			-5.00000;//parameter2
			0.000000;//parameter3
			1.000000;//parameter4
		1;//effect number-----------------------Slow Down Creature
			2000.000000;//parameter1
			-1.000000;//parameter2
			0.830000;//parameter3
			0.000000;//parameter4
		29;//effect number-----------------------Run Script "Check Metal Rod Durability" [10]
			10.000000;//parameter1
			1.00000;//parameter2
			0.000000;//parameter3
			0.000000;//parameter4
	end_hit_effects;
Crowbar;//name--------------------------------------- PRE-CHECK!
	12;//identifier
	4;//class
	qbeaconbullet.png;//bullet texture
	0;//bullets at one shot
	0;//stop at hit 0=stop where hit, 1=don't stop
	0.000000;//bullet size
	0.000000;//spread
	0.000000;//bullet speed
	0.000000;//time until bullet disappears
	250;//fire rate
	0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
	-1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
	-1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
	none;//hit effect sound
	0.000000;//push target back
	0.000000;//push shooter back
	none;//fire sound
	none;//hit sound
	0.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
	begin_wield_conditions;
	end_wield_conditions;
	begin_fire_effects;
		65;//effect number----------------------Fire Crowbar (Attack)
			13.000000;//parameter1
			1.000000;//parameter2
			0.000000;//parameter3
			0.000000;//parameter4
		45;//effect number----------------------Attack Frame Cooldown
			-1.000000;//parameter1
			900.000000;//parameter2
			-1.000000;//parameter3
			0.000000;//parameter4
	end_fire_effects;
	begin_hit_effects;
	end_hit_effects;
Crowbar (Attack);//name---------------------------------------
	13;//identifier
	43;//class
	qbeaconbullet.png;//bullet texture
	3;//bullets at one shot
	0;//stop at hit 0=stop where hit, 1=don't stop
	3.000000;//bullet size
	0.350000;//spread
	1.000000;//bullet speed
	50.000000;//time until bullet disappears
	0;//fire rate
	0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
	-1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
	-1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
	none;//hit effect sound
	2.500000;//push target back
	0.000000;//push shooter back
	swing.wav;//fire sound
	claws0_hit.wav;//hit sound
	0.500000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
	begin_wield_conditions;
		3;//condition-----------------------If Not Tired
			3.000000;//condition parameter0
			15.000000;//condition parameter1
	end_wield_conditions;
	begin_fire_effects;
		63;//effect number-----------------------Tire Player
			-15.000000;//parameter1
			-10.00000;//parameter2
			3.000000;//parameter3
			1.000000;//parameter4
		1;//effect number-----------------------Slow Down Player
			1000.000000;//parameter1
			-1.000000;//parameter2
			0.750000;//parameter3
			0.000000;//parameter4
	end_fire_effects;
	begin_hit_effects;
		63;//effect number-----------------------Add Knock-Out Effect [10-45]
			10.000000;//parameter1
			45.00000;//parameter2
			32.000000;//parameter3
			1.000000;//parameter4
		44;//effect number-----------------------Reduce Durability [0.5]
			-0.500000;//parameter1
			1.00000;//parameter2
			23.000000;//parameter3
			0.000000;//parameter4
		4;//effect number-----------------------Damage NPCs [10]
			-10.000000;//parameter1
			0.00000;//parameter2
			0.000000;//parameter3
			1.000000;//parameter4
		63;//effect number-----------------------Damage NPCs [10-17]
			0.000000;//parameter1
			-7.00000;//parameter2
			0.000000;//parameter3
			1.000000;//parameter4
		63;//effect number-----------------------Make Bleeding [0-3]
			0.000000;//parameter1
			3.00000;//parameter2
			16.000000;//parameter3
			1.000000;//parameter4
		1;//effect number-----------------------Slow Down Creature
			4000.000000;//parameter1
			-1.000000;//parameter2
			0.750000;//parameter3
			0.000000;//parameter4
		1;//effect number-----------------------Slow Down Creature
			2000.000000;//parameter1
			-1.000000;//parameter2
			0.450000;//parameter3
			0.000000;//parameter4
		29;//effect number-----------------------Run Script "Check Crowbar Durability" [28]
			28.000000;//parameter1
			1.00000;//parameter2
			0.000000;//parameter3
			0.000000;//parameter4
	end_hit_effects;
Screwdriver;//name---------------------------------------PRE-CHECK!
	14;//identifier
	5;//class
	sharpbullet.png;//bullet texture
	0;//bullets at one shot
	0;//stop at hit 0=stop where hit, 1=don't stop
	0.000000;//bullet size
	0.000000;//spread
	0.000000;//bullet speed
	0.000000;//time until bullet disappears
	200;//fire rate
	0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
	-1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
	-1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
	none;//hit effect sound
	0.000000;//push target back
	0.000000;//push shooter back
	none;//fire sound
	none;//hit sound
	0.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
	begin_wield_conditions;
	end_wield_conditions;
	begin_fire_effects;
		65;//effect number----------------------Fire Screwdriver (Attack)
			48.000000;//parameter1
			1.000000;//parameter2
			0.000000;//parameter3
			0.000000;//parameter4
		45;//effect number----------------------Attack Frame Cooldown
			-1.000000;//parameter1
			400.000000;//parameter2
			-1.000000;//parameter3
			0.000000;//parameter4
	end_fire_effects;
	begin_hit_effects;
	end_hit_effects;
Wirecutters;//name---------------------------------------
	15;//identifier
	5;//class
	sharpbullet.png;//bullet texture
	0;//bullets at one shot
	0;//stop at hit 0=stop where hit, 1=don't stop
	0.000000;//bullet size
	0.000000;//spread
	0.000000;//bullet speed
	0.000000;//time until bullet disappears
	200;//fire rate
	0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
	-1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
	0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
	none;//hit effect sound
	0.000000;//push target back
	0.000000;//push shooter back
	none;//fire sound
	none;//hit sound
	0.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
	begin_wield_conditions;
	end_wield_conditions;
	begin_fire_effects;
		65;//effect number----------------------Fire WireCutter (Attack)
			49.000000;//parameter1
			1.000000;//parameter2
			0.000000;//parameter3
			0.000000;//parameter4
		45;//effect number----------------------Attack Frame Cooldown
			-1.000000;//parameter1
			400.000000;//parameter2
			-1.000000;//parameter3
			0.000000;//parameter4
	end_fire_effects;
	begin_hit_effects;
	end_hit_effects;
Gas Pipe Flames;//name---------------------------------------
  16;//identifier
  41;//class
  bullet0.png;//bullet texture
  2;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  0.050000;//spread
  0.100000;//bullet speed
  2200.000000;//time until bullet disappears
  100;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  10;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  fire.wav;//hit effect sound
  0.000000;//push target back
  0.000000;//push shooter back
  fire.wav;//fire sound
  none;//hit sound
  0.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
       27;//effect number
      2.000000;//parameter1
      100.000000;//parameter2
      0.100000;//parameter3
      0.100000;//parameter4
  end_fire_effects;
  begin_hit_effects;
      53;//effect number------------------------------Damage NPCs[Death]
      -50.00000;//parameter1
      -1.00000;//parameter2
      0.000000;//parameter3
      5000.000000;//parameter4
      53;//effect number------------------------------Damage Burn[Death]
      -20.000000;//parameter1
      3.00000;//parameter2
      7.000000;//parameter3
      20000.000000;//parameter4
     53;//effect number------------------------------Damage Critical[Death]
      -20.000000;//parameter1
      -1.00000;//parameter2
      11.000000;//parameter3
      20000.000000;//parameter4
  end_hit_effects;
Crowbar (Attack);//name---------------------------------------UNUSED
  17;//identifier
  43;//class
  qbeaconbullet.png;//bullet texture
  3;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  4.000000;//bullet size
  0.500000;//spread
  1.000000;//bullet speed
  50.000000;//time until bullet disappears
  900;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  0;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  none;//hit effect sound
  3.100000;//push target back
  0.000000;//push shooter back
swing.wav;//fire sound
  claws0_hit.wav;//hit sound
  0.500000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
     3;//condition
      3.000000;//condition parameter0
      15.000000;//condition parameter1
  end_wield_conditions;
  begin_fire_effects;
    63;//effect number-----------------------Tire Player
      -15.000000;//parameter1
      -10.00000;//parameter2
      3.000000;//parameter3
      1.000000;//parameter4
	 1;//effect number-----------------------Slow Down Player
      1000.000000;//parameter1
      -1.000000;//parameter2
      0.750000;//parameter3
      0.000000;//parameter4
  end_fire_effects;
  begin_hit_effects;
    63;//effect number-----------------------Add Knock-Out Effect [15-45]
      15.000000;//parameter1
      45.00000;//parameter2
      32.000000;//parameter3
      1.000000;//parameter4
  44;//effect number-----------------------Reduce Durability [1.5]
      -1.500000;//parameter1
      1.00000;//parameter2
      23.000000;//parameter3
      0.000000;//parameter4
  63;//effect number-----------------------Damage NPCs [0-5]
      0.000000;//parameter1
      -5.00000;//parameter2
      0.000000;//parameter3
      1.000000;//parameter4
  63;//effect number-----------------------Damage NPCs [12]
      -12.000000;//parameter1
      -17.00000;//parameter2
      0.000000;//parameter3
      1.000000;//parameter4
	1;//effect number-----------------------Slow Down Creature
      2000.000000;//parameter1
      -1.000000;//parameter2
      0.850000;//parameter3
      0.000000;//parameter4
	29;//effect number-----------------------Run Script "Check Crowbar Durability" [28]
      28.000000;//parameter1
      1.00000;//parameter2
      0.000000;//parameter3
      0.000000;//parameter4
  end_hit_effects;
Noise;//name---------------------------------------
  18;//identifier
  0;//class
  bullet0.png;//bullet texture
  100;//bullets at one shot
  1;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  6.283185;//spread
  4.000000;//bullet speed
  5500.000000;//time until bullet disappears
  100;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  -1;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  -1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  fire.wav;//hit effect sound
  0.000000;//push target back
  0.000000;//push shooter back
  none;//fire sound
  none;//hit sound
  1.000000;//AI hear volume, the amount of anger the AI gets when it hears the weapon
  begin_wield_conditions;
  end_wield_conditions;
  begin_fire_effects;
  end_fire_effects;
  begin_hit_effects;
  end_hit_effects;
Water Splash;//name---------------------------------------
  19;//identifier
  0;//class
  bullet0.png;//bullet texture
  1;//bullets at one shot
  0;//stop at hit 0=stop where hit, 1=don't stop
  0.000000;//bullet size
  6.283185;//spread
  0.050000;//bullet speed
  1000.000000;//time until bullet disappears
  100;//fire rate
  0;//trace 0=no trace, 1=blue beam, 2=bullet trace, 3=red beam, 4=green beam, 5=yellow beam
  0;//hit visual effect colour, -1=nothing 0=?, 1=red, 2=green, 3=blue
  -1;//hit visual effect particle, -1=nothing, 0=>particle from particles.dat 
  fire.wav;//hit effect sound
  0.000000;//push target back
  0.000000;//push shooter back
